,0,1,2,3,4,5,6,7,8,9
gnai3,1.5781705281874299,1.5782936678965744,1.5782936678965744,1.5782936678965744,1.5781705281874299,-0.0,1.5780474028360263,1.5781705281874299,1.5782936678965744,1.5782936678965744
pbsn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdc45,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
h19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scml2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
apoh,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
narf,-0.0,-0.0,-0.0,-0.0,-0.0,1.9236428931499536,-0.0,-0.0,-0.0,-0.0
cav2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
klf6,0.4454998046554481,-0.0,-0.0,-0.0,0.4454998046554481,0.44528114236242505,-0.0,-0.0,-0.0,-0.0
scmh1,7.068864385540075,7.069382401278222,7.069382401278222,7.069382401278222,7.068864385540075,7.06731068792215,0.73558133352834,10.342472790388772,7.069382401278222,7.069382401278222
cox5a,1.5781705281874299,1.5782936678965744,1.5782936678965744,1.5782936678965744,1.5781705281874299,1.5778011953680144,1.5780474028360263,4.340847650181811,1.5782936678965744,1.5782936678965744
tbx2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
tbx4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
zfy2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ngfr,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
wnt3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wnt9a,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
fer,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
xpo6,4.701487615624333,4.70202760136046,4.70202760136046,4.70202760136046,4.701487615624333,-0.0,-0.0,4.701487615624333,4.70202760136046,4.70202760136046
tfe3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
axin2,-0.0,-0.0,-0.0,-0.0,-0.0,0.8422530710448732,-0.0,-0.0,-0.0,-0.0
