,0,1,2,3,4,5,6,7,8,9,10,11,12
gnai3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
pbsn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdc45,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
h19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scml2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
apoh,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.159978272106737,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
narf,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.8815579621392184,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cav2,0.7651786075649063,2.248240381451644,-0.0,0.7669423093900298,2.247799652182223,-0.0,0.7662919408467193,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
klf6,-0.0,1.6626581497858588,-0.0,-0.0,1.6624122242192274,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.6592204600658054,-0.0
scmh1,-0.0,-0.0,-0.0,1.092679485870836,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cox5a,-0.0,-0.0,12.075779292302526,-0.0,12.083161770153644,-0.0,-0.0,-0.0,12.074477808259653,-0.0,12.07751521333895,-0.0,-0.0
tbx2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
tbx4,-0.0,-0.0,1.3299903601832048,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.330448989562662,-0.0,-0.0
zfy2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ngfr,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.2007053865153579,-0.0
wnt3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wnt9a,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
fer,-0.0,1.1598656029845016,0.1190321165532294,0.48894196681887,1.1594400389581698,-0.0,0.4881887506316159,0.11919503920198432,-0.0,-0.0,0.11916243658181068,-0.0,0.48668584876158516
xpo6,-0.0,-0.0,-0.0,1.3319411256870302,1.3319411256870302,1.3296465395710773,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
tfe3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
axin2,0.12710900593610414,-0.0,-0.0,0.5160074943716971,0.5160074943716971,-0.0,-0.0,0.12734722479123267,-0.0,-0.0,-0.0,0.12687124244379697,-0.0
brat1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
gna12,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
slc22a18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
itgb2l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
igsf5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
pih1d2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dlat,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sdhd,-0.0,2.161160696273243,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.586814020086931,2.1591906433336323,-0.0,-0.0
ccnd2,-0.0,-0.0,-0.0,3.0507644296777574,0.47807847583978724,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
gpr107,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
nalcn,-0.0,0.38338222142913886,-0.0,0.3832497401187599,-0.0,-0.0,-0.0,-0.0,-0.0,0.38238983555783485,0.38238983555783485,-0.0,-0.0
btbd17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
slfn4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
th,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
