,0,1,2,3,4,5,6,7,8,9,10
gnai3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.24160677041324
pbsn,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cdc45,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
h19,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
scml2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
apoh,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
narf,-0.0,-0.0,-0.0,3.3278277519494375,-0.0,-0.0,-0.0,-0.0,7.997623927562257,-0.0,-0.0
cav2,-0.0,-0.0,2.395703747952098,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
klf6,0.22262974114195302,0.22272512895941424,1.7250840575662156,0.8007155810275285,-0.0,-0.0,0.8095025498989756,-0.0,0.7953279960340022,-0.0,0.22058939326013108
scmh1,-0.0,5.105077202510059,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.015873279095642,-0.0
cox5a,-0.0,-0.0,-0.0,2.7798722853670252,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.7713367623595784
tbx2,-0.0,6.2712093569141,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.5751891182528737,2.5674387353863337
tbx4,-0.0,-0.0,1.6968626317128335,-0.0,-0.0,-0.0,-0.0,-0.0,1.6974688539544498,-0.0,-0.0
zfy2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ngfr,1.4077312714941144,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.4028034855460836
wnt3,-0.0,1.542794440703875,1.5397254083895655,-0.0,-0.0,-0.0,-0.0,-0.0,1.540314850969406,-0.0,1.5374887940457924
wnt9a,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.9730937088604112,-0.0,-0.0
fer,-0.0,-0.0,-0.0,-0.0,1.4735637058867475,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
xpo6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0627381166196233,-0.0,-0.0,-0.0,2.8631149804884166
tfe3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
axin2,-0.0,2.5478475495522104,0.38607913171651004,0.3889587891426055,-0.0,-0.0,-0.0,-0.0,4.193508370454749,2.551711259884837,-0.0
brat1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
gna12,0.5627659652705452,-0.0,0.5608684539853928,-0.0,-0.0,-0.0,0.5693873058525688,-0.0,-0.0,-0.0,5.301263925991243
slc22a18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
itgb2l,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
igsf5,-0.0,3.071624519228207,-0.0,-0.0,-0.0,1.148900919307156,-0.0,-0.0,-0.0,-0.0,1.135818945352629
pih1d2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dlat,-0.0,-0.0,-0.0,1.8889136560502617,1.897339527040749,-0.0,-0.0,-0.0,-0.0,-0.0,1.8810504824600989
sdhd,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ccnd2,-0.0,1.4079611146634075,1.4049776141781143,-0.0,-0.0,-0.0,1.4173184437573667,-0.0,-0.0,-0.0,-0.0
gpr107,-0.0,3.676611668181844,3.6701041671520023,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
nalcn,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.6791197836993192,-0.0,-0.0,1.4028034855460836
btbd17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.7713367623595784
slfn4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
th,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.1152869176663516,-0.0
ins2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
scnn1g,-0.0,-0.0,-0.0,2.1159305356692775,-0.0,-0.0,-0.0,-0.0,2.1109199598107886,-0.0,2.1078474857091174
drp2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
tspan32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.98177429268951,7.025780803719426
lhx2,-0.0,-0.0,0.8721808797035829,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.8703554293947697
clec2g,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
gmpr,0.0969470254433623,2.8991147037195004,-0.0,0.09750701755648902,-0.0,-0.0,-0.0,1.8173843176372393,0.0964180831122087,-0.0,0.9687814875710927
glra1,-0.0,-0.0,-0.0,1.7022097869546533,-0.0,-0.0,-0.0,-0.0,1.6974688539544498,-0.0,-0.0
mid2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.2447217249553746,-0.0,-0.0
trim25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.3566073218371986,-0.0,3.535180273905489,-0.0,-0.0
dgke,-0.0,-0.0,2.395703747952098,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.400850232985725,2.3932044791807736
scpep1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mnt,7.042866964949654,3.978451273456931,-0.0,1.5449248699359575,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
itgb2,-0.0,1.7891002785375065,-0.0,-0.0,-0.0,-0.0,1.7991343652153275,-0.0,-0.0,-0.0,7.911105949527953
hddc2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.4055506126836927,-0.0,1.4028034855460836
tpd52l1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9954613459487514,-0.0,-0.0,1.9885043466519077
pemt,1.3471547270232502,9.607452422068212,-0.0,1.3494233532104132,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.318436566628535
cdh1,-0.0,2.9700402483261947,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0976053795107759,-0.0
cdh4,-0.0,-0.0,0.4639601950842582,0.4671309479159874,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ckmt1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
bcl6b,4.287625323321119,-0.0,-0.0,10.54353685492319,-0.0,-0.0,-0.0,-0.0,4.284908980388263,-0.0,-0.0
clec10a,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
alox12,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
arvcf,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.415767649263364,1.2857089443635608
comt,-0.0,1.4729185054766947,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.467687240507801
rtca,1.7888537331673884,-0.0,-0.0,-0.0,-0.0,-0.0,1.7991343652153275,1.790333877145421,1.7865144370998864,-0.0,-0.0
dbt,-0.0,3.021966768430593,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dazap2,3.721410617061169,-0.0,-0.0,-0.0,3.7337518447351847,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mcts1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
rem1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
rnf17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.5674387353863337
trappc10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9957046558921583
ccm2,4.146164703760088,7.315360071328858,-0.0,-0.0,-0.0,1.6275098739132954,-0.0,-0.0,-0.0,-0.0,7.2973521227892455
wap,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
tbrg4,-0.0,3.021966768430593,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.278998620442197
tmprss2,-0.0,4.226792673478252,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mx1,-0.0,-0.0,-0.0,-0.0,1.3570653943930548,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
fap,-0.0,1.4729185054766947,1.4698924545090633,1.4750191685852232,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
gcg,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ndufa9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.1240715081778108,-0.0,-0.0,-0.0,-0.0
egfl6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
lck,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.4004535635756654,-0.0,-0.0,-0.0
tssk3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cttnbp2,0.2356822496976579,-0.0,-0.0,-0.0,-0.0,-0.0,0.2398161065951869,-0.0,-0.0,0.23642364143614303,-0.0
galnt1,-0.0,1.0962331878473703,-0.0,-0.0,-0.0,-0.0,-0.0,1.0972885069469576,-0.0,-0.0,-0.0
myf5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mkrn2,-0.0,-0.0,1.883415871870498,1.8889136560502617,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
pparg,-0.0,-0.0,-0.0,0.497151897146393,0.5021841099935177,-0.0,-0.0,-0.0,1.5305729491853182,-0.0,0.49247360091252995
raf1,1.1404055765436898,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sept1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.3267111336163686,-0.0,-0.0,-0.0
