,0,1,2,3,4,5,6,7,8,9,10,11,12,13
gnai3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.77835220305967,1.7782259672184901,1.7782259672184901
pbsn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdc45,3.597887388466147,3.5980316507551606,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.5986088442238056,-0.0,-0.0,3.598464524201358
h19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scml2,2.1337044478405214,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
apoh,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
narf,2.1337044478405214,2.1338364682612183,-0.0,-0.0,-0.0,5.693755375466651,2.1338364682612183,-0.0,-0.0,-0.0,-0.0,2.134364696725099,-0.0,-0.0
cav2,2.1337044478405214,-0.0,-0.0,2.1342326183302225,-0.0,-0.0,2.1338364682612183,-0.0,-0.0,-0.0,-0.0,-0.0,2.1342326183302225,-0.0
klf6,3.91716234953859,-0.0,-0.0,-0.0,0.3120654545640641,0.3120654545640641,0.3118867454835282,0.31200587291353266,-0.0,0.3120654545640641,0.31212504805366437,-0.0,-0.0,0.3120654545640641
scmh1,0.6335648481055707,1.9403898499473047,-0.0,0.6339086891027903,-0.0,0.6339086891027903,0.633650787394902,-0.0,-0.0,-0.0,-0.0,1.9412322223122,-0.0,-0.0
cox5a,-0.0,3.5980316507551606,3.5986088442238056,-0.0,3.598464524201358,3.598464524201358,3.5980316507551606,3.5983202186227663,3.5993306609308924,-0.0,3.5986088442238056,-0.0,3.598464524201358,3.598464524201358
tbx2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
tbx4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
zfy2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ngfr,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.134364696725099,-0.0,-0.0
wnt3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wnt9a,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.7780997449163396,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
fer,0.5127792094237968,0.5128568170167218,-0.0,1.6275298664927786,0.513089720990894,-0.0,1.6269399107779738,0.5130120731257143,0.5135558869120628,0.513089720990894,0.5131673817217218,0.5131673817217218,1.6275298664927786,-0.0
xpo6,50.38247234316186,3.2771146233667463,50.39257929587026,1.6275298664927786,50.3905575006823,3.27811464727317,50.384493329158026,50.38853590787625,50.40269130863073,50.3905575006823,50.39257929587026,1.6277265747079182,50.3905575006823,50.3905575006823
tfe3,2.1337044478405214,2.1338364682612183,-0.0,2.1342326183302225,-0.0,2.1342326183302225,-0.0,2.134100554188519,-0.0,2.1342326183302225,-0.0,-0.0,2.1342326183302225,-0.0
axin2,-0.0,1.1423257000137823,3.2071025980761356,-0.0,3.20685465807427,1.1426550419495745,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.1426550419495745
brat1,-0.0,-0.0,-0.0,3.598464524201358,3.598464524201358,3.598464524201358,3.5980316507551606,-0.0,3.5993306609308924,-0.0,-0.0,-0.0,-0.0,-0.0
gna12,0.5071790298221078,0.5072898162641412,0.12371951668363673,0.5076223236542134,0.12368579692873029,0.12368579692873029,0.12358469254863275,0.507511463465376,0.12388825645723095,0.12368579692873029,0.12371951668363673,0.5077332078907204,0.12368579692873029,0.12368579692873029
slc22a18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
itgb2l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
igsf5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
pih1d2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dlat,2.1337044478405214,2.1338364682612183,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sdhd,-0.0,-0.0,-0.0,1.5144419073819677,1.5144419073819677,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ccnd2,-0.0,0.793048441139856,-0.0,0.21389890933318922,-0.0,0.21389890933318922,-0.0,1.7630319404608696,-0.0,0.21389890933318922,0.21394665402912183,0.7936133594633153,-0.0,-0.0
gpr107,-0.0,-0.0,1.5145624855560609,1.5144419073819677,-0.0,-0.0,1.514080259501347,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.5144419073819677
nalcn,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
btbd17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
slfn4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
th,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ins2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scnn1g,3.597887388466147,3.5980316507551606,3.5986088442238056,-0.0,3.598464524201358,-0.0,-0.0,3.5983202186227663,3.5993306609308924,3.598464524201358,3.5986088442238056,-0.0,3.598464524201358,3.598464524201358
drp2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.5980316507551606,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.598464524201358
tspan32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
lhx2,-0.0,-0.0,0.5697194253444113,-0.0,0.5696376802862545,0.5696376802862545,-0.0,-0.0,-0.0,-0.0,1.7755037651592895,-0.0,-0.0,0.5696376802862545
clec2g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gmpr,0.050879685834781106,0.6543813151820136,0.050970685209062026,2.206809362848498,0.05095247261312073,0.05095247261312073,1.3071453369602035,0.2455116661797223,0.05106184696469691,-0.0,0.050970685209062026,0.24565422816553864,0.24558293727050787,-0.0
glra1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mid2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
trim25,1.7777211662935586,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.77835220305967,-0.0,-0.0,-0.0
dgke,-0.0,2.1338364682612183,-0.0,-0.0,-0.0,2.1342326183302225,2.1338364682612183,-0.0,-0.0,2.1342326183302225,-0.0,2.134364696725099,-0.0,-0.0
