,0,1,2,3,4,5,6,7,8,9
gnai3,-0.0,-0.0,-0.0,-0.0,2.367187954866486,-0.0,-0.0,-0.0,-0.0,-0.0
pbsn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdc45,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.9020359931439486
h19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scml2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
apoh,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
narf,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.047329641272051,-0.0,-0.0,2.001910102398934
cav2,0.5743804851649427,-0.0,1.7409003086818462,-0.0,0.5745404812777309,-0.0,0.5743804851649427,0.574620499620073,-0.0,0.574620499620073
klf6,5.156230847151701,-0.0,3.1900399616981647,0.526207250971094,0.526437205544197,-0.0,0.5262838899950821,1.6201051171159762,-0.0,1.6201051171159762
scmh1,0.7203217753546327,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cox5a,4.825073260841458,4.825073260841458,4.825217537574328,4.824928998552445,4.825361828709064,4.824928998552445,-0.0,-0.0,4.824928998552445,4.825506134287656
tbx2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
tbx4,-0.0,-0.0,0.8725045572472452,-0.0,2.4651944923103484,-0.0,-0.0,-0.0,-0.0,-0.0
zfy2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ngfr,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.169430736528297,-0.0,-0.0,-0.0
wnt3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wnt9a,2.169430736528297,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
fer,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.6004170639838676,-0.0,-0.0,-0.0
xpo6,1.015644430665285,1.015644430665285,1.015746864888013,-0.0,-0.0,91.69746347636432,1.015644430665285,-0.0,1.015542010092966,-0.0
tfe3,2.6049059333277973,-0.0,2.605040037415165,-0.0,-0.0,-0.0,-0.0,2.605308288566234,-0.0,-0.0
axin2,0.549700057420371,-0.0,-0.0,0.5496217625803537,-0.0,-0.0,-0.0,3.2917481758155107,-0.0,0.5499350201156012
brat1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
gna12,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.061789144651308,3.4968784494944507,-0.0,-0.0
slc22a18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
itgb2l,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
igsf5,-0.0,-0.0,-0.0,1.8560698486108416,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
pih1d2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dlat,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sdhd,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.901626150905268,-0.0,-0.0,-0.0
ccnd2,-0.0,-0.0,4.002529430179948,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
gpr107,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
nalcn,3.189717860188831,-0.0,-0.0,-0.0,1.6199136790002862,-0.0,0.5262838899950821,3.1906842930086574,0.526207250971094,1.6201051171159762
btbd17,-0.0,-0.0,-0.0,-0.0,2.1696891630677007,-0.0,-0.0,-0.0,-0.0,-0.0
slfn4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
th,-0.0,-0.0,2.9017627508091732,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ins2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scnn1g,-0.0,24.126758319312955,-0.0,-0.0,-0.0,24.126036863555296,-0.0,2.605308288566234,24.126036863555296,-0.0
drp2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.5138837451019254,-0.0
tspan32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
lhx2,1.945479324714995,-0.0,-0.0,-0.0,-0.0,-0.0,0.6569746336112733,-0.0,-0.0,-0.0
clec2g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gmpr,0.1846251145658886,0.6881379622596571,0.18466761862083686,0.18458262010881238,0.6883936272409235,-0.0,2.692466941559541,0.1847526581105313,-0.0,0.6885214982512102
glra1,-0.0,1.5140012415200028,1.514118752012013,-0.0,-0.0,-0.0,-0.0,1.514353816372332,1.5138837451019254,-0.0
mid2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
trim25,-0.0,-0.0,2.3670563008458867,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dgke,3.291300938890284,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
scpep1,-0.0,-0.0,-0.0,2.3667930363987137,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mnt,0.9645507534916521,0.9645507534916521,-0.0,2.6817653954366847,0.9647515713886796,0.9644503643231014,-0.0,0.9648520022436095,-0.0,0.9648520022436095
itgb2,-0.0,-0.0,1.2636464089852188,-0.0,-0.0,-0.0,1.2635355434390223,-0.0,-0.0,3.3747725992474287
hddc2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.1007736369321615
tpd52l1,0.34633588483244043,-0.0,-0.0,0.3462743338947556,-0.0,-0.0,0.34633588483244043,1.149500140048944,-0.0,-0.0
pemt,-0.0,-0.0,1.015746864888013,-0.0,1.0158493132733537,-0.0,-0.0,-0.0,-0.0,1.0159517761850523
cdh1,4.430114704706389,-0.0,-0.0,-0.0,1.7288708106515018,-0.0,-0.0,-0.0,-0.0,-0.0
cdh4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ckmt1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bcl6b,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
clec10a,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
alox12,-0.0,-0.0,-0.0,-0.0,2.9018993644274937,-0.0,-0.0,-0.0,-0.0,-0.0
arvcf,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.4228439050865496
comt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
rtca,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dbt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dazap2,-0.0,2.6049059333277973,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.605308288566234
mcts1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
rem1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
rnf17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
trappc10,0.7203217753546327,-0.0,-0.0,-0.0,2.1005622280167295,-0.0,-0.0,0.7205883182508186,-0.0,-0.0
