,0,1,2,3,4,5,6,7,8,9
gnai3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
pbsn,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cdc45,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
h19,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.2843366446424045
scml2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
apoh,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
narf,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cav2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
klf6,-0.0,-0.0,0.2495082616628317,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.2499807978701367
scmh1,-0.0,-0.0,0.6645687486442451,-0.0,-0.0,-0.0,-0.0,-0.0,0.6652735335415076,-0.0
cox5a,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
tbx2,-0.0,-0.0,1.920914246303873,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9220759939459569
tbx4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
zfy2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ngfr,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
wnt3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
wnt9a,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
fer,-0.0,-0.0,0.38273472061194463,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
xpo6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
tfe3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
axin2,0.22994248756232852,0.22984250998748346,-0.0,0.23004251063894413,0.22974257769868558,-0.0,-0.0,-0.0,0.22994248756232852,0.22999249342747452
brat1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
gna12,-0.0,1.0052403527112401,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
slc22a18,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
itgb2l,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
igsf5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
pih1d2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dlat,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sdhd,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ccnd2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
gpr107,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
nalcn,45.14677495644352,45.1432840369558,45.132815499940314,45.15026658004821,45.13979382120714,45.14153884113771,45.15201265595477,45.145029408724405,45.14677495644352,45.14852068021813
btbd17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9220759939459569
slfn4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
th,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ins2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
scnn1g,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
drp2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.1259696190761646,-0.0,-0.0
tspan32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.922334321616141,-0.0,-0.0,-0.0
lhx2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.45792517181716
clec2g,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
gmpr,-0.0,-0.0,-0.0,-0.0,-0.0,0.04312268668357436,-0.0,-0.0,-0.0,-0.0
glra1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mid2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
trim25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.284067833464854,-0.0,-0.0
dgke,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
scpep1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mnt,-0.0,-0.0,-0.0,-0.0,1.6516033072730976,-0.0,-0.0,1.6519752264641105,-0.0,-0.0
itgb2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
hddc2,-0.0,-0.0,0.9012507550136167,-0.0,-0.0,0.9017531030111607,-0.0,-0.0,-0.0,-0.0
tpd52l1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
pemt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cdh1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cdh4,-0.0,-0.0,-0.0,0.036986888589642414,0.036900413714348164,0.18747996897760766,0.03700132063307385,-0.0,-0.0,0.03697246212225623
ckmt1,2.8156795406371593,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
bcl6b,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
clec10a,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
alox12,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
arvcf,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
comt,-0.0,-0.0,-0.0,-0.0,-0.0,1.1257506678740752,-0.0,-0.0,-0.0,-0.0
rtca,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dbt,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dazap2,3.7614902613146715,3.76119951261384,3.7603276179295073,3.76178106860969,3.7609088224862006,3.7610541602336194,3.761926494258886,3.761344879626861,3.7614902613146715,3.761635657614289
mcts1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
rem1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
rnf17,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
trappc10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
ccm2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
wap,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
tbrg4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
tmprss2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mx1,-0.0,1.1258601362742857,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
fap,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
gcg,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5499449291178786,-0.0
ndufa9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
egfl6,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
lck,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
tssk3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cttnbp2,-0.0,-0.0,-0.0,0.3138135531534133,0.06888717389945533,-0.0,-0.0,-0.0,0.06897781732795631,-0.0
galnt1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
myf5,-0.0,1.0052403527112401,1.0046110480786832,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
mkrn2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
